MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
42,2,Hot Price League,Khan,dire,22,LOSE,40:01,Drow Ranger,Winter Wyvern,Timbersaw,Tiny,Puck
42,2,Hot Price League,Vikin.gg,radiant,27,WIN,40:01,Shadow Fiend,Venomancer,Ursa,Rubick,Lich
43,1,Hot Price League,Majori edut na Minor,radiant,7,LOSE,27:37,Naga Siren,Abaddon,Rubick,Lone Druid,Lich
43,1,Hot Price League,Vikin.gg,dire,28,WIN,27:37,Razor,Treant Protector,Batrider,Tiny,Doom
43,2,Hot Price League,Majori edut na Minor,dire,20,LOSE,36:31,Underlord,Drow Ranger,Templar Assassin,Doom,Treant Protector
43,2,Hot Price League,Vikin.gg,radiant,48,WIN,36:31,Bloodseeker,Venomancer,Disruptor,Rubick,Magnus
45,1,Hot Price League,Khan,radiant,18,LOSE,35:48,Riki,Storm Spirit,Treant Protector,Disruptor,Omniknight
45,1,Hot Price League,VAULT,dire,31,WIN,35:48,Morphling,Brewmaster,Winter Wyvern,Slark,Io
45,2,Hot Price League,Khan,dire,36,WIN,21:39,Kunkka,Timbersaw,Rubick,Slark,Lich
45,2,Hot Price League,VAULT,radiant,5,LOSE,21:39,Troll Warlord,Skywrath Mage,Shadow Fiend,Winter Wyvern,Omniknight
46,1,Hot Price League,Empire Hope,radiant,31,WIN,17:53,Broodmother,Batrider,Dark Willow,Slark,Omniknight
46,1,Hot Price League,No Creativity,dire,5,LOSE,17:53,Brewmaster,Viper,Ursa,Rubick,Lich
46,2,Hot Price League,Empire Hope,dire,32,WIN,26:01,Rubick,Timbersaw,Shadow Fiend,Phantom Lancer,Lich
46,2,Hot Price League,No Creativity,radiant,20,LOSE,26:01,Storm Spirit,Crystal Maiden,Enchantress,Slark,Treant Protector
47,1,Hot Price League,VAULT,dire,22,WIN,27:57,Bloodseeker,Morphling,Winter Wyvern,Skywrath Mage,Omniknight
47,1,Hot Price League,Empire Hope,radiant,23,LOSE,27:57,Storm Spirit,Disruptor,Slark,Rubick,Timbersaw
47,2,Hot Price League,VAULT,radiant,5,LOSE,26:02,Storm Spirit,Timbersaw,Winter Wyvern,Slark,Io
47,2,Hot Price League,Empire Hope,dire,30,WIN,26:02,Disruptor,Phantom Lancer,Dark Willow,Shadow Fiend,Omniknight
47,3,Hot Price League,VAULT,dire,16,LOSE,36:26,Undying,Necrophos,Skywrath Mage,Omniknight,Morphling
47,3,Hot Price League,Empire Hope,radiant,26,WIN,36:26,Shadow Fiend,Bloodseeker,Silencer,Timbersaw,Puck
48,1,Hot Price League,Majori edut na Minor,radiant,18,LOSE,28:49,Tiny,Razor,Abaddon,Templar Assassin,Treant Protector
48,1,Hot Price League,Empire Hope,dire,22,WIN,28:49,Terrorblade,Underlord,Batrider,Rubick,Magnus
48,2,Hot Price League,Majori edut na Minor,dire,43,WIN,40:18,Centaur Warrunner,Batrider,Puck,Slark,Io
48,2,Hot Price League,Empire Hope,radiant,19,LOSE,40:18,Sand King,Phantom Lancer,Shadow Fiend,Lich,Doom
48,3,Hot Price League,Majori edut na Minor,radiant,30,WIN,46:10,Outworld Devourer,Beastmaster,Batrider,Lifestealer,Io
48,3,Hot Price League,Empire Hope,dire,37,LOSE,46:10,Naga Siren,Abaddon,Rubick,Lich,Shadow Fiend
49,1,Hot Price League,Vikin.gg,dire,35,WIN,38:33,Vengeful Spirit,Huskar,Earthshaker,Disruptor,Omniknight
49,1,Hot Price League,Majori edut na Minor,radiant,18,LOSE,38:33,Brewmaster,Drow Ranger,Treant Protector,Rubick,Shadow Fiend
49,2,Hot Price League,Vikin.gg,dire,17,WIN,17:51,Meepo,Abaddon,Shadow Fiend,Doom,Winter Wyvern
