,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
93,24,1,ESL One Birmingham  2019,Team Secret,dire,41.0,WIN,85:00,Spectre,Dark Seer,Spirit Breaker,Templar Assassin,Io
94,24,2,ESL One Birmingham  2019,Alliance,dire,40.0,LOSE,52:09,Sand King,Juggernaut,Grimstroke,Morphling,Pangolier
95,24,2,ESL One Birmingham  2019,Team Secret,radiant,64.0,WIN,52:09,Riki,Mars,Ogre Magi,Crystal Maiden,Shadow Fiend
96,25,1,ESL One Birmingham  2019,Keen Gaming,radiant,11.0,LOSE,28:12,Lycan,Lone Druid,Shadow Shaman,Warlock,Tiny
97,25,1,ESL One Birmingham  2019,PSG.LGD,dire,19.0,WIN,28:12,Wraith King,Arc Warden,Chen,Batrider,Earthshaker
98,25,2,ESL One Birmingham  2019,Keen Gaming,dire,32.0,LOSE,45:48,Slardar,Templar Assassin,Naga Siren,Disruptor,Sand King
99,25,2,ESL One Birmingham  2019,PSG.LGD,radiant,32.0,WIN,45:48,Alchemist,Sven,Jakiro,Doom,Rubick
100,26,1,ESL One Birmingham  2019,Keen Gaming,radiant,32.0,LOSE,44:33,Ursa,Razor,Disruptor,Clockwerk,Dark Seer
101,26,1,ESL One Birmingham  2019,Evil Geniuses,dire,38.0,WIN,44:33,Outworld Devourer,Lifestealer,Shadow Demon,Doom,Earthshaker
102,26,2,ESL One Birmingham  2019,Keen Gaming,radiant,21.0,LOSE,35:07,Medusa,Batrider,Witch Doctor,Razor,Earthshaker
103,26,2,ESL One Birmingham  2019,Evil Geniuses,dire,32.0,WIN,35:07,Luna,Abaddon,Leshrac,Sven,Io
104,27,1,ESL One Birmingham  2019,Keen Gaming,radiant,5.0,LOSE,20:15,Lone Druid,Puck,Troll Warlord,Tusk,Chen
105,27,1,ESL One Birmingham  2019,Team Secret,dire,21.0,WIN,20:15,Pugna,Gyrocopter,Ogre Magi,Ember Spirit,Io
106,27,2,ESL One Birmingham  2019,Keen Gaming,dire,39.0,WIN,43:45,Viper,Batrider,Razor,Brewmaster,Nyx Assassin
107,27,2,ESL One Birmingham  2019,Team Secret,radiant,45.0,LOSE,43:45,Pangolier,Monkey King,Troll Warlord,Tiny,Lion
108,28,1,ESL One Birmingham  2019,PSG.LGD,radiant,32.0,WIN,26:23,Mars,Morphling,Rubick,Earth Spirit,Dark Seer
109,28,1,ESL One Birmingham  2019,Evil Geniuses,dire,7.0,LOSE,26:23,Outworld Devourer,Phantom Assassin,Sand King,Warlock,Pangolier
110,28,2,ESL One Birmingham  2019,PSG.LGD,radiant,43.0,WIN,34:11,Bounty Hunter,Monkey King,Ogre Magi,Grimstroke,Doom
111,28,2,ESL One Birmingham  2019,Evil Geniuses,dire,36.0,LOSE,34:11,Phantom Lancer,Riki,Treant Protector,Magnus,Crystal Maiden
112,29,1,ESL One Birmingham  2019,PSG.LGD,radiant,32.0,WIN,41:40,Ember Spirit,Lone Druid,Shadow Shaman,Dark Seer,Nyx Assassin
113,29,1,ESL One Birmingham  2019,Team Secret,dire,29.0,LOSE,41:40,Silencer,Pangolier,Juggernaut,Disruptor,Earthshaker
114,29,2,ESL One Birmingham  2019,PSG.LGD,radiant,12.0,LOSE,35:39,Ursa,Jakiro,Naga Siren,Techies,Sand King
115,29,2,ESL One Birmingham  2019,Team Secret,dire,38.0,WIN,35:39,Pudge,Spectre,Lion,Templar Assassin,Earthshaker
116,30,1,ESL One Birmingham  2019,Evil Geniuses,dire,32.0,WIN,40:36,Shadow Fiend,Drow Ranger,Puck,Visage,Pangolier
117,30,1,ESL One Birmingham  2019,Team Secret,radiant,22.0,LOSE,40:36,Templar Assassin,Earth Spirit,Warlock,Morphling,Rubick
118,30,2,ESL One Birmingham  2019,Evil Geniuses,radiant,30.0,WIN,37:08,Sven,Leshrac,Omniknight,Earth Spirit,Chen
119,30,2,ESL One Birmingham  2019,Team Secret,dire,17.0,LOSE,37:08,Invoker,Ursa,Jakiro,Mars,Crystal Maiden
120,31,1,ESL One Birmingham  2019,Team Liquid,dire,22.0,LOSE,50:33,Leshrac,Omniknight,Crystal Maiden,Troll Warlord,Earth Spirit
121,31,1,ESL One Birmingham  2019,Gambit Esports,radiant,33.0,WIN,50:33,Queen of Pain,Sand King,Winter Wyvern,Lone Druid,Bane
122,31,2,ESL One Birmingham  2019,Team Liquid,radiant,25.0,WIN,29:43,Lone Druid,Morphling,Nature's Prophet,Shadow Shaman,Oracle
123,31,2,ESL One Birmingham  2019,Gambit Esports,dire,2.0,LOSE,29:43,Leshrac,Outworld Devourer,Jakiro,Wraith King,Nyx Assassin
124,31,3,ESL One Birmingham  2019,Team Liquid,radiant,23.0,LOSE,45:27,Broodmother,Shadow Shaman,Undying,Morphling,Sand King
125,31,3,ESL One Birmingham  2019,Gambit Esports,dire,33.0,WIN,45:27,Templar Assassin,Troll Warlord,Warlock,Centaur Warrunner,Earth Spirit
